time,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
148.72978353500366,-58276.609375,-44657.28125,-64957.8203125,-400000.0625,-41337.2109375,-400000.0625,-400000.0625,-400000.0625
148.74775457382202,-58266.6015625,-44649.078125,-64941.078125,-400000.0625,-41349.69921875,-400000.0625,-400000.0625,-400000.0625
148.76639652252197,-58251.71875,-44635.3984375,-64920.23828125,-400000.0625,-41326.9609375,-400000.0625,-400000.0625,-400000.0625
148.78395867347717,-58249.19140625,-44642.0703125,-64917.1015625,-400000.0625,-41321.8515625,-400000.0625,-400000.0625,-400000.0625
148.8028211593628,-58338.98046875,-44773.76953125,-65030.1484375,-400000.0625,-41382.37109375,-400000.0625,-400000.0625,-400000.0625
148.86511993408203,-58348.0390625,-44780.2109375,-65044.7890625,-400000.0625,-41418.12890625,-400000.0625,-400000.0625,-400000.0625
148.95063018798828,-58362.8203125,-44748.83984375,-65064.76953125,-400000.0625,-41430.19140625,-400000.0625,-400000.0625,-400000.0625
149.00255608558655,-58332.16015625,-44723.55859375,-65024.48046875,-400000.0625,-41416.21875,-400000.0625,-400000.0625,-400000.0625
149.0606553554535,-58332.640625,-44735.9609375,-65040.0703125,-400000.0625,-41430.23828125,-400000.0625,-400000.0625,-400000.0625
149.14261198043823,-58353.37890625,-44753.51171875,-65088.08984375,-400000.0625,-41464.4296875,-400000.0625,-400000.0625,-400000.0625
149.20512175559998,-58373.51171875,-44779.01953125,-65105.48828125,-400000.0625,-41469.71875,-400000.0625,-400000.0625,-400000.0625
149.25449657440186,-58371.55078125,-44751.51171875,-65104.3984375,-400000.0625,-41479.16015625,-400000.0625,-400000.0625,-400000.0625
149.35266828536987,-58374.98046875,-44766.62109375,-65097.05078125,-400000.0625,-41461.7109375,-400000.0625,-400000.0625,-400000.0625
149.39398384094238,-58394.01171875,-44762.19140625,-65105.87890625,-400000.0625,-41490.1796875,-400000.0625,-400000.0625,-400000.0625
149.45941162109375,-58401.640625,-44784.83984375,-65125.7109375,-400000.0625,-41508.25,-400000.0625,-400000.0625,-400000.0625
149.5122582912445,-58417.28125,-44791.3203125,-65147.6484375,-400000.0625,-41525.55859375,-400000.0625,-400000.0625,-400000.0625
149.59708547592163,-58410.51171875,-44794.76171875,-65158.08984375,-400000.0625,-41533.05078125,-400000.0625,-400000.0625,-400000.0625
149.63785481452942,-58378.890625,-44771.390625,-65138.87109375,-400000.0625,-41517.30859375,-400000.0625,-400000.0625,-400000.0625
149.70278191566467,-58392.8203125,-44777.96875,-65156.98828125,-400000.0625,-41516.30859375,-400000.0625,-400000.0625,-400000.0625
149.76421737670898,-58431.578125,-44806.05859375,-65181.69140625,-400000.0625,-41546.30078125,-400000.0625,-400000.0625,-400000.0625
149.84268260002136,-58424.62109375,-44780.0703125,-65180.73828125,-400000.0625,-41538.19921875,-400000.0625,-400000.0625,-400000.0625
149.90258240699768,-58449.75,-44821.03125,-65223.94140625,-400000.0625,-41557.51171875,-400000.0625,-400000.0625,-400000.0625
149.9788556098938,-58445.890625,-44832.80859375,-65236.2890625,-400000.0625,-41557.359375,-400000.0625,-400000.0625,-400000.0625
150.03904485702515,-58460.1484375,-44828.23046875,-65228.08984375,-400000.0625,-41560.6484375,-400000.0625,-400000.0625,-400000.0625
150.089013338089,-58463.87109375,-44834.859375,-65238.91015625,-400000.0625,-41588.171875,-400000.0625,-400000.0625,-400000.0625
150.16711688041687,-58487.66015625,-44852.41015625,-65271.91015625,-400000.0625,-41614.78125,-400000.0625,-400000.0625,-400000.0625
150.3017077445984,-58474.5,-44831.66015625,-65258.609375,-400000.0625,-41597.55859375,-400000.0625,-400000.0625,-400000.0625
150.35471963882446,-58473.44921875,-44828.7109375,-65264.5703125,-400000.0625,-41611.390625,-400000.0625,-400000.0625,-400000.0625
150.40352272987366,-58504.30078125,-44852.828125,-65287.87890625,-400000.0625,-41631.0390625,-400000.0625,-400000.0625,-400000.0625
